PMID	chemical	trigger	target	context_sentence
26396156	Pparα	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis	Additionally, transcript levels of Pparα, and its targets acyl-CoA oxidase (Acox1) and hydroxy-3-methylglutaryl-CoA synthase 2 (Hmgcs2), were also downregulated, indicating changes in peroxisomal fatty acid oxidation and ketogenesis.
26396156	acyl-CoA oxidase	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis	Additionally, transcript levels of Pparα, and its targets acyl-CoA oxidase (Acox1) and hydroxy-3-methylglutaryl-CoA synthase 2 (Hmgcs2), were also downregulated, indicating changes in peroxisomal fatty acid oxidation and ketogenesis.
26396156	Acox1	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis	Additionally, transcript levels of Pparα, and its targets acyl-CoA oxidase (Acox1) and hydroxy-3-methylglutaryl-CoA synthase 2 (Hmgcs2), were also downregulated, indicating changes in peroxisomal fatty acid oxidation and ketogenesis.
26396156	hydroxy-3-methylglutaryl-CoA synthase 2	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis	Additionally, transcript levels of Pparα, and its targets acyl-CoA oxidase (Acox1) and hydroxy-3-methylglutaryl-CoA synthase 2 (Hmgcs2), were also downregulated, indicating changes in peroxisomal fatty acid oxidation and ketogenesis.
26396156	Hmgcs2	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis	Additionally, transcript levels of Pparα, and its targets acyl-CoA oxidase (Acox1) and hydroxy-3-methylglutaryl-CoA synthase 2 (Hmgcs2), were also downregulated, indicating changes in peroxisomal fatty acid oxidation and ketogenesis.
26396156	PCB126-induced	decrease	serum glucose caused by decreased hepatic glucose production	These results indicate that PCB126-induced wasting and steatosis are preceded initially by (1) decreased serum glucose caused by decreased hepatic glucose production, followed by (2) decreased peroxisomal fatty acid oxidation.
26396156	PCB126-induced	decrease	peroxisomal fatty acid oxidation	These results indicate that PCB126-induced wasting and steatosis are preceded initially by (1) decreased serum glucose caused by decreased hepatic glucose production, followed by (2) decreased peroxisomal fatty acid oxidation.
26640164	Tetracycline	cause	hepatic steatosis, and	Tetracycline can cause hepatic steatosis, and ER stress may be involved in tetracycline-induced fatty liver.
26640164	bicyclol	attenuate	tetracycline-induced fatty liver	Therefore, this study was performed to investigate the underlying mechanisms associated with ER stress and apoptosis, by which bicyclol attenuated tetracycline-induced fatty liver in mice.
26640164	tetracycline	evaluate	liver injuries	At 6 h and 24 h after single dose of tetracycline injection, serum ALT, AST, TG, CHO and hepatic histopathological examinations were performed to evaluate liver injuries.
26640164	serum ALT	evaluate	liver injuries	At 6 h and 24 h after single dose of tetracycline injection, serum ALT, AST, TG, CHO and hepatic histopathological examinations were performed to evaluate liver injuries.
26640164	AST	evaluate	liver injuries	At 6 h and 24 h after single dose of tetracycline injection, serum ALT, AST, TG, CHO and hepatic histopathological examinations were performed to evaluate liver injuries.
26640164	TG	evaluate	liver injuries	At 6 h and 24 h after single dose of tetracycline injection, serum ALT, AST, TG, CHO and hepatic histopathological examinations were performed to evaluate liver injuries.
26640164	CHO	evaluate	liver injuries	At 6 h and 24 h after single dose of tetracycline injection, serum ALT, AST, TG, CHO and hepatic histopathological examinations were performed to evaluate liver injuries.
26640164	bicyclol	alleviate	hepatic apoptosis and the gene expression of caspase-3	In addition, bicyclol remarkably alleviated hepatic apoptosis and the gene expression of caspase-3, and increased the gene expression of XIAP.
26640164	bicyclol	increase	the gene expression of XIAP	In addition, bicyclol remarkably alleviated hepatic apoptosis and the gene expression of caspase-3, and increased the gene expression of XIAP.
26640164	bicyclol	protect	tetracycline-induced fatty liver	These results suggested that bicyclol protected tetracycline-induced fatty liver partly due to its ability of anti-apoptosis associated with ER stress.
27062444	Peroxisome proliferator-activated receptor gamma	regulate	lipogenesis and lipid accumulation	Peroxisome proliferator-activated receptor gamma (PPARγ) signaling has been shown to regulate lipogenesis and lipid accumulation.
27062444	Lieber-DeCarli alcohol	control	liquid diet	To determine the role of hepatic PPARγ signaling on ALD, wild-type (WT) and hepatocyte-specific PPARγ knockdown (PPARγ∆Hep) mice were fed a modified Lieber-DeCarli alcohol or isocaloric maltose dextrin control liquid diet for 8 weeks to induce ALD.
27062444	maltose dextrin	control	liquid diet	To determine the role of hepatic PPARγ signaling on ALD, wild-type (WT) and hepatocyte-specific PPARγ knockdown (PPARγ∆Hep) mice were fed a modified Lieber-DeCarli alcohol or isocaloric maltose dextrin control liquid diet for 8 weeks to induce ALD.
27062444	hepatic PPARγ	alleviate	alcohol-induced lipid accumulation	Knockdown of hepatic PPARγ significantly alleviated alcohol-induced lipid accumulation and abolished the up-regulation of FASN, DGAT1, and DGAT2.
27062444	hepatic PPARγ	abolish	the up-regulation of FASN, DGAT1, and DGAT2	Knockdown of hepatic PPARγ significantly alleviated alcohol-induced lipid accumulation and abolished the up-regulation of FASN, DGAT1, and DGAT2.
27062444	FL83B cells	decrease	ethanol (EtOH)-, linoleic acid-, and EtOH plus linoleic acid-induced lipid accumulation	Silencing of PPARγ in FL83B cells significantly decreased ethanol (EtOH)-, linoleic acid-, and EtOH plus linoleic acid-induced lipid accumulation.
27108203	PFOS	increase	the transcriptional expression of nuclear receptors	Quantitative PCR assay further indicated that PFOS significantly increase the transcriptional expression of nuclear receptors (nr1h3, rara, rxrgb, nr1l2) and the genes associated with fatty acid oxidation (acox1, acadm, cpt1a).
27108203	PFOS	decrease	liver ATP content and serum level of VLDL/LDL lipoprotein in males	In addition, chronic PFOS exposure significantly decreased liver ATP content and serum level of VLDL/LDL lipoprotein in males.
27108203	PFOS	induce	hepatic steatosis in zebrafish	Taken together, these findings suggest that chronic PFOS exposure induces hepatic steatosis in zebrafish via disturbing lipid biosynthesis, fatty acid β-oxidation and excretion of VLDL/LDL lipoprotein, and also demonstrate the validity of using zebrafish as an alternative model for PFOS chronic toxicity screening.
27108203	PFOS	disturb	lipid biosynthesis, fatty acid β-oxidation and excretion of VLDL/LDL lipoprotein	Taken together, these findings suggest that chronic PFOS exposure induces hepatic steatosis in zebrafish via disturbing lipid biosynthesis, fatty acid β-oxidation and excretion of VLDL/LDL lipoprotein, and also demonstrate the validity of using zebrafish as an alternative model for PFOS chronic toxicity screening.
27108203	PFOS	demonstrate	the validity of using zebrafish as an alternative model for PFOS chronic toxicity screening	Taken together, these findings suggest that chronic PFOS exposure induces hepatic steatosis in zebrafish via disturbing lipid biosynthesis, fatty acid β-oxidation and excretion of VLDL/LDL lipoprotein, and also demonstrate the validity of using zebrafish as an alternative model for PFOS chronic toxicity screening.
27124661	ethanol	dysregulate	PTEN/Akt signaling	In murine models, chronic ethanol consumption dysregulates PTEN/Akt signaling.
27124661	tensin homolog	possess	constitutive activation of Akt(s	Hepatospecific deletion of phosphatase and tensin homolog deleted on chromosome 10 (PTENLKO) mice possess constitutive activation of Akt(s) and increased de novo lipogenesis resulting in increased hepatocellular steatosis.
27124661	tensin	possess	constitutive activation of Akt(s	Hepatospecific deletion of phosphatase and tensin homolog deleted on chromosome 10 (PTENLKO) mice possess constitutive activation of Akt(s) and increased de novo lipogenesis resulting in increased hepatocellular steatosis.
27124661	tensin homolog	increase	de novo lipogenesis resulting in increased hepatocellular steatosis	Hepatospecific deletion of phosphatase and tensin homolog deleted on chromosome 10 (PTENLKO) mice possess constitutive activation of Akt(s) and increased de novo lipogenesis resulting in increased hepatocellular steatosis.
27124661	tensin	increase	de novo lipogenesis resulting in increased hepatocellular steatosis	Hepatospecific deletion of phosphatase and tensin homolog deleted on chromosome 10 (PTENLKO) mice possess constitutive activation of Akt(s) and increased de novo lipogenesis resulting in increased hepatocellular steatosis.
27124661	ethanol	increase	ALT, liver triglycerides and steatosis	In the control PTENf/f animals, ethanol significantly increased ALT, liver triglycerides and steatosis.
27124661	ethanol	decrease	hepatocellular damage	In contrast, chronic ethanol consumption in PTENLKO mice decreased hepatocellular damage when compared to PTENLKO pair-fed controls.
27124661	ethanol	have	no effect in PTENLKO animals	Consumption of ethanol elevated protein carbonylation in PTENf/f animals but had no effect in PTENLKO animals.
27220557	FO	attenuate	the ethanol-induced hepatic lipid accumulation in mice	In this study, we assessed the potential protective effects of ALA-rich flaxseed oil (FO) on ethanol-induced hepatic steatosis and observed that dietary FO supplementation effectively attenuated the ethanol-induced hepatic lipid accumulation in mice.
27220557	Ethanol	stimulate	adipose lipolysis	Ethanol exposure stimulated adipose lipolysis but reduced fatty acid/lipid uptake, which were normalized by FO.
27220557	Ethanol	reduce	fatty acid/lipid uptake, which were normalized by FO	Ethanol exposure stimulated adipose lipolysis but reduced fatty acid/lipid uptake, which were normalized by FO.
27220557	FO	normalize	lipid metabolism in adipose tissue	Our investigations into the corresponding mechanisms demonstrated that the ameliorating effect of FO might be associated with the lower endoplasmic reticulum stress and normalized lipid metabolism in adipose tissue.
27220557	alcohol	stimulate	hepatic fatty acid uptake and triglyceride synthesis, which were attenuated by FO	In the liver, alcohol exposure stimulated hepatic fatty acid uptake and triglyceride synthesis, which were attenuated by FO.
27220557	FO	upregulate	plasma adiponectin concentration	Additionally, dietary FO upregulated plasma adiponectin concentration, hepatic adiponectin receptor 2 expression, and the activation of hepatic adenosine monophosphate-activated protein kinase.
27220557	FO	upregulate	hepatic adiponectin receptor 2 expression	Additionally, dietary FO upregulated plasma adiponectin concentration, hepatic adiponectin receptor 2 expression, and the activation of hepatic adenosine monophosphate-activated protein kinase.
27220557	FO	improve	lipid homeostasis	Collectively, dietary FO protects against alcoholic hepatic steatosis by improving lipid homeostasis at the adipose tissue-liver axis, suggesting that dietary ALA-rich flaxseed oil might be a promising approach for prevention of alcoholic fatty liver.
27614967	ginsenosides	reduce	TG content (9.69±0.22 μg/mg protein vs. 4.93±0.49 μg/mg protein, P<0.01), and ROS formation (7254.8±385.7 vs. 5825.2±375.9, P<0.01)	However, ginsenosides significantly reduced TG content (9.69±0.22 μg/mg protein vs. 4.93±0.49 μg/mg protein, P<0.01), and ROS formation (7254.8±385.7 vs. 5825.2±375.9, P<0.01).
27614967	ginsenosides	down-regulate	CYP2E1 expression (P<0.01)	Furthermore, ginsenosides could down-regulate CYP2E1 expression (P<0.01) and upregulate PPARα expression (P<0.01) in ethanol-treated cells.
27614967	ginsenosides	upregulate	PPARα expression (P<0.01) in ethanol-treated cells	Furthermore, ginsenosides could down-regulate CYP2E1 expression (P<0.01) and upregulate PPARα expression (P<0.01) in ethanol-treated cells.
27614967	Ginsenosides	prevent	ethanol-induced hepatocyte steatosis in vitro related to the inhibition of oxidative stress and the improvement of mitochondrial function	Ginsenosides could prevent ethanol-induced hepatocyte steatosis in vitro related to the inhibition of oxidative stress and the improvement of mitochondrial function.
27614967	CYP2E1	play	an important role in the protective effect of ginsenosides against lipid accumulation	In addition, the modulation of CYP2E1 and PPARα expression may also play an important role in the protective effect of ginsenosides against lipid accumulation.
27614967	PPARα	play	an important role in the protective effect of ginsenosides against lipid accumulation	In addition, the modulation of CYP2E1 and PPARα expression may also play an important role in the protective effect of ginsenosides against lipid accumulation.
27627966	alcohol	cause	hepatic lipid accumulation	Previous studies demonstrated that acute alcohol intoxication caused hepatic lipid accumulation.
27627966	alcohol	cause	hepatic lipid accumulation in Tlr4-wild-type mice but not in Tlr4-mutant mice	The present study showed that acute alcohol intoxication caused hepatic lipid accumulation in Tlr4-wild-type mice but not in Tlr4-mutant mice.
27692001	fatty liver	exhibit	hyperketonemia, oxidative stress,	Dairy cows with fatty liver or ketosis exhibit hyperketonemia, oxidative stress, and a low rate of very low density lipoprotein (VLDL) assembly, and there may be a potential link among these characteristics.
27692001	AcAc	decrease	the mRNA expression and activities of antioxidant enzymes superoxide dismutase (SOD), catalase (CAT), and glutathione peroxidase (GSH-Px),	AcAc treatment decreased the mRNA expression and activities of antioxidant enzymes superoxide dismutase (SOD), catalase (CAT), and glutathione peroxidase (GSH-Px), and significantly increased malondialdehyde (MDA) content, indicative of oxidative stress.
27692001	AcAc	increase	malondialdehyde (MDA) content, indicative of oxidative stress	AcAc treatment decreased the mRNA expression and activities of antioxidant enzymes superoxide dismutase (SOD), catalase (CAT), and glutathione peroxidase (GSH-Px), and significantly increased malondialdehyde (MDA) content, indicative of oxidative stress.
27692001	AcAc	down-regulate	the mRNA expression of apolipoprotein B100 (ApoB100), apolipoprotein E (ApoE), and low density lipoprotein receptor (LDLR), which thus decreased VLDL assembly	Furthermore, AcAc treatment significantly down-regulated the mRNA expression of apolipoprotein B100 (ApoB100), apolipoprotein E (ApoE), and low density lipoprotein receptor (LDLR), which thus decreased VLDL assembly and increased triglyceride (TG) accumulation in these bovine hepatocytes.
27692001	LDLR	decrease	VLDL assembly	Furthermore, AcAc treatment significantly down-regulated the mRNA expression of apolipoprotein B100 (ApoB100), apolipoprotein E (ApoE), and low density lipoprotein receptor (LDLR), which thus decreased VLDL assembly and increased triglyceride (TG) accumulation in these bovine hepatocytes.
27692001	AcAc	increase	triglyceride (TG) accumulation in these bovine hepatocytes	Furthermore, AcAc treatment significantly down-regulated the mRNA expression of apolipoprotein B100 (ApoB100), apolipoprotein E (ApoE), and low density lipoprotein receptor (LDLR), which thus decreased VLDL assembly and increased triglyceride (TG) accumulation in these bovine hepatocytes.
27692001	NAC	relieve	AcAc-induced oxidative stress	Importantly, NAC relieved AcAc-induced oxidative stress and increased VLDL assembly.
27692001	NAC	increase	VLDL assembly	Importantly, NAC relieved AcAc-induced oxidative stress and increased VLDL assembly.
27692001	VLDL	increase	TG accumulation in bovine hepatocytes	In summary, these results suggest that AcAc-induced oxidative stress affects the assembly of VLDL, which increases TG accumulation in bovine hepatocytes.
27837167	ligustrazine	attenuate	alcohol-induced hepatic steatosis and in vitro study	Our previous in vivo study showed that ligustrazine, a major active alkaloid isolated from Ligusticum chuanxiong Hort, attenuated alcohol-induced hepatic steatosis and in vitro study revealed that nuclear factor (erythroid-derived 2)-like 2 (Nrf2) activation might be a prerequisite.
27837167	Nrf2	establish	Nrf2-knockdown mice	Nrf2 shRNA lentivirus was introduced to establish Nrf2-knockdown mice.
27837167	Nrf2	aggravate	alcoholic liver injury	Results showed that Nrf2 knockdown aggravated alcoholic liver injury and abolished the protective effect of ligustrazine, evidenced by elevated serum biomarkers and severe liver inflammation.
27837167	Nrf2	abolish	the protective effect of ligustrazine, evidenced by elevated serum biomarkers and severe liver inflammation	Results showed that Nrf2 knockdown aggravated alcoholic liver injury and abolished the protective effect of ligustrazine, evidenced by elevated serum biomarkers and severe liver inflammation.
27837167	Ligustrazine	ameliorate	hepatic steatosis	Ligustrazine impressively ameliorated hepatic steatosis through inhibiting hepatic sterol regulatory element-binding protein-1c and inducing peroxisome proliferator-activated receptor-alpha, which was abrogated by Nrf2 knockdown.
27837167	Ligustrazine	inhibit	hepatic sterol regulatory element-binding protein-1c and inducing peroxisome proliferator-activated receptor-alpha, which was abrogated by Nrf2 knockdown	Ligustrazine impressively ameliorated hepatic steatosis through inhibiting hepatic sterol regulatory element-binding protein-1c and inducing peroxisome proliferator-activated receptor-alpha, which was abrogated by Nrf2 knockdown.
27837167	Noteworthily	reinforce	the inductive effect of alcohol on hypoxia-inducible factor 1-alpha (HIF-1α)	Noteworthily, Nrf2 knockdown apparently reinforced the inductive effect of alcohol on hypoxia-inducible factor 1-alpha (HIF-1α).
27837167	Nrf2	reinforce	the inductive effect of alcohol on hypoxia-inducible factor 1-alpha (HIF-1α)	Noteworthily, Nrf2 knockdown apparently reinforced the inductive effect of alcohol on hypoxia-inducible factor 1-alpha (HIF-1α).
27837167	Ligustrazine	weaken	the stimulation of alcohol on HIF-1α expression, which was abrogated by Nrf2 shRNA lentivirus	Ligustrazine weakened the stimulation of alcohol on HIF-1α expression, which was abrogated by Nrf2 shRNA lentivirus.
27837167	Nrf2	abolish	the inhibitory effect of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	dimethyloxalylglycine	abolish	the inhibitory effect of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	HIF-1α	abolish	the inhibitory effect of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	HIF-1α	mimic	the role of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	Nrf2	mimic	the role of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	dimethyloxalylglycine	mimic	the role of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	HIF-1α	mimic	the role of ligustrazine	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	HIF-1α	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	Nrf2	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	dimethyloxalylglycine	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	HIF-1α	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes	Gain- or loss-of-function analyses further revealed that Nrf2 siRNA and dimethyloxalylglycine, a HIF-1α agonist, abolished the inhibitory effect of ligustrazine, whereas HIF-1α siRNA mimicked the role of ligustrazine and even rescued the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes.
27837167	ligustrazine	attenuate	alcohol-induced hepatic steatosis	Taken together, we concluded that ligustrazine attenuated alcohol-induced hepatic steatosis via a Nrf2/HIF-1α pathway-dependent mechanism.
28131861	Cyp2a5	feed	the Lieber-Decarli ethanol diet	Cyp2a5 knockout (Cyp2a5 Mice were fed the Lieber-Decarli ethanol diet to induce alcoholic fatty liver.
28131861	Cyp2a5 Mice	feed	the Lieber-Decarli ethanol diet	Cyp2a5 knockout (Cyp2a5 Mice were fed the Lieber-Decarli ethanol diet to induce alcoholic fatty liver.
28131861	Cyp2a5	induce	alcoholic fatty liver	Cyp2a5 knockout (Cyp2a5 Mice were fed the Lieber-Decarli ethanol diet to induce alcoholic fatty liver.
28131861	Cyp2a5 Mice	induce	alcoholic fatty liver	Cyp2a5 knockout (Cyp2a5 Mice were fed the Lieber-Decarli ethanol diet to induce alcoholic fatty liver.
28366540	VPA	enhance	the efficiency of fatty acid uptake mediated by CD36	Furthermore, VPA treatment remarkably enhanced the efficiency of fatty acid uptake mediated by CD36, while this effect was abolished by the interference with CD36-specific siRNA.
28366540	VPA	increase	DGAT2 expression	Also, VPA treatment significantly increased DGAT2 expression as a result of the inhibition of mitogen-activated protein kinase kinase (MEK) - extracellular regulated kinase (ERK) pathway; however, DGAT2 knockdown significantly alleviated VPA-induced intracellular lipid accumulation.
28366540	DGAT2	alleviate	VPA-induced intracellular lipid accumulation	Also, VPA treatment significantly increased DGAT2 expression as a result of the inhibition of mitogen-activated protein kinase kinase (MEK) - extracellular regulated kinase (ERK) pathway; however, DGAT2 knockdown significantly alleviated VPA-induced intracellular lipid accumulation.
28366540	CD36	offer	novel therapeutic strategies to combat VPA-induced hepatotoxicity	Overall, VPA-triggered over-regulation of CD36 and DGAT2 could be helpful for a better understanding of the mechanisms underlying VPA-induced hepatic steatosis and may offer novel therapeutic strategies to combat VPA-induced hepatotoxicity.
28366540	DGAT2	offer	novel therapeutic strategies to combat VPA-induced hepatotoxicity	Overall, VPA-triggered over-regulation of CD36 and DGAT2 could be helpful for a better understanding of the mechanisms underlying VPA-induced hepatic steatosis and may offer novel therapeutic strategies to combat VPA-induced hepatotoxicity.
28449683	FK866	promote	liver steatosis in the mice fed with HFD and hepatic lipid accumulation in vitro	FK866 significantly promoted liver steatosis in the mice fed with HFD and hepatic lipid accumulation in vitro, accompanied by the increases of the expressions of lipogenic genes such as sterol regulatory element-binding protein 1 (SREBP1) and fatty acid synthase (FASN).
28449683	NAMPT	aggravate	the HFD- or oleic acid-induced hepatic steatosis	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	Nicotinamide	aggravate	the HFD- or oleic acid-induced hepatic steatosis	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	NMN	aggravate	the HFD- or oleic acid-induced hepatic steatosis	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	NAD	aggravate	the HFD- or oleic acid-induced hepatic steatosis	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	Nicotinamide mononucleotide	aggravate	the HFD- or oleic acid-induced hepatic steatosis	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	NAMPT	suppress	Sirt1-mediated signaling pathway	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	Nicotinamide	suppress	Sirt1-mediated signaling pathway	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	NMN	suppress	Sirt1-mediated signaling pathway	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
28449683	NAD	suppress	Sirt1-mediated signaling pathway	Nicotinamide mononucleotide (NMN) and NAD Our results demonstrated that inhibition of NAMPT aggravated the HFD- or oleic acid-induced hepatic steatosis through suppressing Sirt1-mediated signaling pathway.
