PMID	chemical	trigger	target
29782848	ethanol	have	lower levels of total and nuclear TFEB
29782848	hepatocytes	decrease	lysosome biogenesis and autophagy
29782848	liver-specific	decrease	lysosome biogenesis and autophagy
29782848	TFEB	decrease	lysosome biogenesis and autophagy
29782848	Tefb	decrease	lysosome biogenesis and autophagy
29782848	Tfe3	decrease	lysosome biogenesis and autophagy
29782848	TFEB	decrease	lysosome biogenesis and autophagy
29782848	TFE3	decrease	lysosome biogenesis and autophagy
29782848	Tfeb Liver tissues	decrease	lysosome biogenesis and autophagy
29782848	ethanol	decrease	lysosome biogenesis and autophagy
29782848	Hepatocytes	increase	translocation of mTOR into lysosomes
29782848	ethanol	increase	translocation of mTOR into lysosomes
29782848	torin-1	increase	liver levels of TFEB
29782848	torin-1	decrease	steatosis and liver injury induced by ethanol
29782848	TFEB	develop	less severe ethanol-induced liver injury
29782848	TFEB	increase	lysosomal biogenesis and mitochondrial bioenergetics
29782848	TFEB	develop	more severe liver injury
29782848	TFEB-TFE3	develop	more severe liver injury
29782848	Liver tissues	have	 lower nuclear levels of TFEB than control tissues
29782848	ethanol	decrease	hepatic expression of TFEB, which is required for lysosomal biogenesis and autophagy
29782848	mTOR	protect	the liver
29782848	TFEB	protect	the liver
29934713	Lipin-1	perform	dual function
29934713	exendin-4	prevent	endoplasmic reticulum (ER) stress-induced hepatic steatosis
29934713	Exendin-4	decrease	the expression of ER stress markers
29934713	Exendin-4	decrease	glucose-regulated protein 78 kDa (GRP78) proteins and spliced X-box binding protein 1 (XBP-1s) mRNA
29934713	Exendin-4	phosphorylate	PKR like ER kinase (PERK), phosphorylated inositol-requiring enzyme 1 alpha (IRE1α)
29934713	Exendin-4	increase	the expression of genes encoding lipolytic enzymes hormone-sensitive lipase (HSL) and monoacylglycerol lipase (MGL) and VLDL assembly-associated proteins microsomal triglyceride transfer protein (MTP) and apolipoprotein B (APOB) in tunicamycin-pretreated cells
29934713	exendin-4	decrease	lipin-1β/α ratio
29934713	exendin-4	increase	SFRP10
29934713	exendin-4	increase	lipin-1 nuclear localization
29934713	exendin-4	improve	ER stress-induced hepatic lipid accumulation
29934713	exendin-4	increase	lipolysis and VLDL assembly
30138652	Nanoparticle	promote	hepatic steatosis
30138652	Nanoparticle	investigate	the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes
30138652	MWCNTs	accompany	cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production
30138652	carboxylated MWCNTs	accompany	cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production
30214048	JMJD2B	stimulate	the expression of peroxisome proliferator-activated receptor γ2 (PPARγ2) and its steatosis target genes associated with fatty acid uptake and lipid droplet formation
30214048	HepG2 cells	stimulate	the expression of peroxisome proliferator-activated receptor γ2 (PPARγ2) and its steatosis target genes associated with fatty acid uptake and lipid droplet formation
30214048	JMJD2B	feed	a HFD, which was accompanied with increased expression of hepatic PPARγ2 and its steatosis target genes
30248338	hepatocyte VDR	set	steatosis
30248338	ANGPTL8	attenuate	free fatty acids-induced triglyceride accumulation in these cells
30248338	fatty acids	up-regulate	both VDR and ANGPTL8 mRNA
30248338	insulin	up-regulate	both VDR and ANGPTL8 mRNA
30248338	VDR	up-regulate	ANGPTL8 expression
30248338	hepatic ANGPTL8	play	a key role
30452912	Doxorubicin	disturb	the lipid metabolism
30452912	doxorubicin	impede	lipogenesis and elevated lipolysis
30452912	Doxorubicin	impair	the lipogenesis through PPARγ
30452912	Doxorubicin	augment	lipolysis and fatty acid oxidation through ATGL and PPARα
30452912	Apo B	develop	insulin resistance and hepatic steatosis condition
30452912	fatty acid	dysregulate	AHR, PXR, PPARγ, ATGL and Apo B,which further develop insulin resistance and hepatic steatosis condition
30452912	adipose tissue	dysregulate	AHR, PXR, PPARγ, ATGL and Apo B,which further develop insulin resistance and hepatic steatosis condition
30557836	Dipeptidyl peptidase-4	exert	beneficial effects against insulin resistance (IR) and type 2 diabetes
30557836	DPP-4	ameliorate	COC-induced glucose dysregulation and hepatic triglyceride (TG) accumulation through adenosine deaminase (ADA) /xanthine oxidase (XO) /uric acid-dependent pathway
30557836	COC	result	in increased plasma and hepatic TG, TG/HDL-cholesterol ratio, malondialdehyde, uric acid (plasma; 25.2 ± 0.6 mg/dl; hepatic 128.9 ± 8.0 mg/100 mg tissue), lactate dehydrogenase, DPP-4, ADA and XO (plasma;10.5 ± 1.1 U/L; hepatic 21.2 ± 1.4 U/g protein) activities
30557836	DPP-4	ameliorate	these alterations induced by COC treatment through suppression of uric acid (plasma; 15.1 ± 1.0 mg/dl, hepatic; 75.6 ± 5.0 mg/100 mg tissue), XO (plasma;
30557836	DPP-4	ameliorate	4.1 ± 0.9 U/L, hepatic; 8.7 ± 0.4 U/g protein), ADA and DPP-4 activities suggesting their involvement in glucose dysregulation and hepatic TG accumulation induced by COC treatment
30562559	p70 ribosomal protein subunit 6 kinase 1	improve	hepatic steatosis
30677459	cell	study	the impact of efavirenz on PXR activities and lipid homeostasis
30677459	efavirenz	activate	PXR
30677459	efavirenz	induce	its target gene expression
30677459	hepatic PXR	abolish	these adverse effects
30677459	PXR	regulate	the expression of several key hepatic lipogenic genes including fatty acid transporter CD36 and cholesterol biosynthesis enzyme squalene epoxidase (SQLE)
30677459	PXR	exhibit	considerable differences in its pharmacology across species
30677459	efavirenz	induce	hypercholesterolemia and hepatic steatosis
30677459	efavirenz	activate	PXR signaling
30677459	efavirenz	activate	a unique liver protein called PXR which mediates the adverse effects of efavirenz on lipid levels in mouse models
30677459	PXR	mediate	the adverse effects of efavirenz on lipid levels in mouse models
30824780	Cell	add	3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide (MTT)
30824780	Silybin	ameliorate	the harmful BPA-induced effect decreasing glucose uptake and lipid peroxidation
30824780	silybin	activate	the synthesis of vitamin D3 metabolites
30824780	silybin	prevent	the steroid hormones oxidation
30880507	Metformin	inhibit	gluconeogenesis and glycogenolysis in hepatocytes
30880507	Metformin	limit	lipid storage in the liver
30880507	endocannabinoids	modulate	hepatosteatosis
30880507	metformin	modulate	hepatosteatosis
30880507	metformin	affect	lipid accumulation in hepatocytes
30880507	intracellular lipids	use	Oil-Red-O staining
30880507	AM1241	treat	Hep3B cells
30880507	H-indol-3-yl]methanone	treat	Hep3B cells
30880507	Met	decrease	lipid accumulation in cells treated with OA
30880507	Met	inhibit	CB1R agonist-induced lipid accumulation in hepatocytes
30880507	metformin	inhibit	CB1R agonist-stimulated fat accumulation in hepatocytes
31026768	Vinyl chloride	cause	steatohepatitis
31026768	Mitochondrial	play	key roles
31026768	Mitochondrial	mediate	this interaction
31026768	low-dose	cause	liver injury
31026768	VC	decrease	hepatic ALDH2 activity of mice
31026768	VC	feed	HFD
31026768	Alda-1	attenuate	oxidative stress, liver injury, and dysmetabolism in mice exposed to HFD+VC under these conditions
31026768	Alda-1	suppress	PINK1/PARKIN-mediated mitophagy
31026768	ALDH2	confer	protection against liver damage under these conditions
31026768	Alda-1	confer	protection against liver damage under these conditions
31053639	dexamethasone	induce	the rate of hepatic
31151157	Thioacetamide	induce	lipid accumulation in the liver
31330194	dexamethasone	induce	steatosis
31463983	vitamin D	establish	an animal model of vitamin D deficiency
31463983	vitamin D	induce	hepatic lipid accumulation
31463983	vitamin D	reduce	alcohol-induced triacylglycerol (TAG) content
31463983	vitamin D deficiency	reduce	alcohol-induced triacylglycerol (TAG) content
31463983	vitamin D	prevent	hepatic lipid accumulation
31463983	vitamin D deficiency	prevent	hepatic lipid accumulation
31463983	vitamin D	attenuate	alcohol-induced sterol-regulated element-binding protein (SREBP)-1c activation, which regulates genes for hepatic fatty acid (FA) and TAG synthesis
31463983	vitamin D	attenuate	the expression of its target genes fatty acid synthase (Fasn) and acetyl-coenzyme- A carboxylase (Acc)
31463983	sterol-regulated element-binding protein (SREBP)-1c	regulate	genes for hepatic fatty acid (FA) and TAG synthesis
31463983	vitamin D	alleviate	alcohol-induced downregulation of hepatic nuclear peroxisome proliferator-activated receptor (PPAR)α, which governs FA transport and β-oxidation
31463983	hepatic nuclear peroxisome proliferator-activated receptor	govern	FA transport and β-oxidation
31463983	Vitamin D	alleviate	acute alcohol-induced hepatic lipid accumulation
31463983	Vitamin D	inhibit	hepatic de novo fatty acid syntheses
31463983	Vitamin D	promote	fatty acid β-oxidation and ω-oxidation
31470036	Bisphenol A	increase	cholesterol levels
31470036	BPA	increase	cholesterol levels
31470036	plasticizers	increase	cholesterol levels
31470036	BPA	increase	hepatic cholesterol content
31470036	BPA	decrease	the DNA methylation levels of SREBP-2
31470036	DNA	decrease	the DNA methylation levels of SREBP-2
31470036	BPA	increase	the expression levels of SREBP-1c and stearoyl-CoA desaturase 1 in the liver
31470036	BPA	induce	hepatic lipid synthesis and fat accumulation
31470036	low-dose	induce	hepatic cholesterol synthesis
31470036	BPA	induce	hepatic cholesterol synthesis
31470036	cholesterol	cause	cholesterol accumulation
31470036	low-dose	decrease	the DNA methylation levels of SREBP-2
31470036	BPA	decrease	the DNA methylation levels of SREBP-2
31470036	low-dose	induce	liver lipid synthesis and hepatic steatosis
31470036	BPA	induce	liver lipid synthesis and hepatic steatosis
31470036	low-dose	up-regulate	the expression of genes related to cholesterol synthesis in the liver, which causes cholesterol accumulation
31470036	BPA	up-regulate	the expression of genes related to cholesterol synthesis in the liver, which causes cholesterol accumulation
31473330	steroid	modulate	multiple physiological processes in teleosts
31473330	E2	upregulate	TC, TG, LDL, and HDL
31473330	E2	show	a significantly higher expression of the VLDL assembly genes but depressed levels of LDLR and LRP1
31473330	ICI	inhibit	the expression of MTP, LPL, LRP1, CD36, FABP11a, ACO1 and FAS in tilapia livers
31473330	E2	induce	deposition of lipids in the livers of hybrid tilapia
31473330	E2	stimulate	the expression of genes associated with the VLDL assembly
31473330	E2	inhibit	lipoprotein lipase and lipoprotein receptor-related genes
31473330	E2	promote	the rate-limiting enzyme in the synthesis of the TG
31473330	E2	provide	new clues to illustrate the sex steroid function in energy metabolism in livers
31491605	Mono-2-ethylhexyl phthalate	induce	lipid accumulation in hepatocytes
31491605	MEHP	induce	lipid accumulation in hepatocytes
31491605	DEHP	induce	lipid accumulation in hepatocytes
31491605	Di-(2-ethylhexyl	induce	lipid accumulation in hepatocytes
31491605	phthalate	induce	lipid accumulation in hepatocytes
31491605	MEHP	promote	the lipid synthesis and accumulation in BRL-3A cells
31491605	MEHP	down-regulate	the expression
31491605	MEHP	inhibit	the activation of JAK2/STAT5
31491605	MEHP	inhibit	JAK2/STAT5 pathway
31682409	Cd	induce	NAFLD
31682409	Cd	cause	marked hepatic mitochondrial dysfunction and fatty acid oxidation deficiency, along with significant suppression of sirtuin 1 (SIRT1) signaling pathway in the liver
31682409	Cd	inhibit	the mitochondrial fatty acid oxidation in hepatocytes
31682409	Cd	deserve	greater attention
31857090	xanthine oxidase	exert	both inflammatory and oxidative effects
31857090	xanthine	exert	both inflammatory and oxidative effects
31857090	SCFAs	elicit	beneficial metabolic alterations in IR and related syndromes
31857090	fatty acids (SCFAs	elicit	beneficial metabolic alterations in IR and related syndromes
31857090	nicotine	increase	fasting plasma glucose, lactate, IR, plasma and hepatic TG, free fatty acid, TG/HDL-cholesterol ratio, lipid peroxidation, liver function enzymes, plasma and hepatic UA, XO and ADA activities
31857090	acetate	ameliorate	nicotine-induced effects
31857090	nicotine	enhance	XO activity
31857090	acetate	confer	hepatoprotection
31866205	SFAs	maintain	cell metabolic hemostasis
31866205	PA	induce	lipotoxic effects
31866205	PA	induce	lipotoxic effects
31866205	LPA	induce	lipotoxic effects
31866205	PA	increase	mitochondrial functions
31866205	LPA	increase	mitochondrial functions
31866205	PA	alleviate	the injuries induced by HPA or hepatoxic agent carbon tetrachloride (CCl
31866205	LPA	alleviate	the injuries induced by HPA or hepatoxic agent carbon tetrachloride (CCl
32165129	valproate	impaired	lipid droplet disposal starting at 1 mM after incubation for 3 or 7 days
32165129	Valproate	increase	the expression of genes associated with fatty acid import and triglyceride synthesis
32165129	Valproate	affect	expression of genes engaged in fatty acid activation
