Paper,entity,type,char_start,char_end,context_sentence
/work/eval_papers/PMID_32324591.pdf,mice,SPECIES,839,843,- **Species:** Mouse - **Species Snippet:** Hepatic steatosis was modelled both in vitro with primary hepatocytes treated with sodium palmitate and in vivo with mice fed a high-fat diet.
/work/eval_papers/PMID_32324591.pdf,mouse,SPECIES,925,930,- **Test System:** In vitro primary hepatocytes and in vivo mouse model - **Test System Snippet:** Primary hepatocytes treated with sodium palmitate and mice fed a high-fat diet for establishing models of hepatic steatosis.
/work/eval_papers/PMID_32324591.pdf,mice,SPECIES,1018,1022,- **Test System:** In vitro primary hepatocytes and in vivo mouse model - **Test System Snippet:** Primary hepatocytes treated with sodium palmitate and mice fed a high-fat diet for establishing models of hepatic steatosis.
/work/eval_papers/PMID_32593710.pdf,BPA,CHEMICAL,261,264,"The analysis indicates a high biological plausibility score of 6.0 for the Key Event Relationship (KER) ""er_stress-novel_fibrosis."" Supporting evidence from the paper ""/work/eval_papers/PMID_32593710.pdf"" shows the following details: - **Stressor:** Pollutant (BPA) - **Stressors Snippet:** BPA exposure can impair glucose and lipid metabolism, and in this study, it was evaluated in ovariectomized mice fed a high-fat diet."
/work/eval_papers/PMID_32593710.pdf,BPA,CHEMICAL,291,294,"The analysis indicates a high biological plausibility score of 6.0 for the Key Event Relationship (KER) ""er_stress-novel_fibrosis."" Supporting evidence from the paper ""/work/eval_papers/PMID_32593710.pdf"" shows the following details: - **Stressor:** Pollutant (BPA) - **Stressors Snippet:** BPA exposure can impair glucose and lipid metabolism, and in this study, it was evaluated in ovariectomized mice fed a high-fat diet."
/work/eval_papers/PMID_32593710.pdf,glucose,CHEMICAL,315,322,"The analysis indicates a high biological plausibility score of 6.0 for the Key Event Relationship (KER) ""er_stress-novel_fibrosis."" Supporting evidence from the paper ""/work/eval_papers/PMID_32593710.pdf"" shows the following details: - **Stressor:** Pollutant (BPA) - **Stressors Snippet:** BPA exposure can impair glucose and lipid metabolism, and in this study, it was evaluated in ovariectomized mice fed a high-fat diet."
/work/eval_papers/PMID_32593710.pdf,BPA,CHEMICAL,707,710,"- **Test System:** In vivo mouse model - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** BPA triggered severe hepatic steatosis, exacerbated fat and collagen depositions, and up-regulated genes related to ER stress and liver injury, especially when combined with a high-fat diet."
/work/eval_papers/PMID_32593710.pdf,BPA,CHEMICAL,943,946,"Positive, indicating that BPA exposure was associated with increased hepatic steatosis, which can relate to hepatic fibrosis in the context of ER stress and advanced liver pathology."
/work/eval_papers/PMID_32593710.pdf,mice,SPECIES,399,403,"The analysis indicates a high biological plausibility score of 6.0 for the Key Event Relationship (KER) ""er_stress-novel_fibrosis."" Supporting evidence from the paper ""/work/eval_papers/PMID_32593710.pdf"" shows the following details: - **Stressor:** Pollutant (BPA) - **Stressors Snippet:** BPA exposure can impair glucose and lipid metabolism, and in this study, it was evaluated in ovariectomized mice fed a high-fat diet."
/work/eval_papers/PMID_32593710.pdf,Mouse,SPECIES,440,445,"- **Species:** Mouse - **Species Snippet:** The study involved adult Swiss female mice with ovariectomy, mimicking postmenopausal conditions with metabolic impairments."
/work/eval_papers/PMID_32593710.pdf,mice,SPECIES,507,511,"- **Species:** Mouse - **Species Snippet:** The study involved adult Swiss female mice with ovariectomy, mimicking postmenopausal conditions with metabolic impairments."
/work/eval_papers/PMID_32593710.pdf,postmenopausal,SPECIES,540,554,"- **Species:** Mouse - **Species Snippet:** The study involved adult Swiss female mice with ovariectomy, mimicking postmenopausal conditions with metabolic impairments."
/work/eval_papers/PMID_32593710.pdf,mouse,SPECIES,621,626,"- **Test System:** In vivo mouse model - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** BPA triggered severe hepatic steatosis, exacerbated fat and collagen depositions, and up-regulated genes related to ER stress and liver injury, especially when combined with a high-fat diet."
/work/eval_papers/PMID_28777337.pdf,Tunicamycin,CHEMICAL,227,238,"The analysis indicates a biological plausibility score of 5.0 for the relationship between ER stress and VLDL secretion based on the provided paper. **Supporting extracted data from the paper:** - **Stressor:** Pharmaceutical (Tunicamycin) - **Stressor Snippet:** Tunicamycin, a pharmacological ER stress inducer, can stimulate tumor cell apoptosis and is used to develop anti-cancer drugs."
/work/eval_papers/PMID_28777337.pdf,Tunicamycin,CHEMICAL,264,275,"The analysis indicates a biological plausibility score of 5.0 for the relationship between ER stress and VLDL secretion based on the provided paper. **Supporting extracted data from the paper:** - **Stressor:** Pharmaceutical (Tunicamycin) - **Stressor Snippet:** Tunicamycin, a pharmacological ER stress inducer, can stimulate tumor cell apoptosis and is used to develop anti-cancer drugs."
/work/eval_papers/PMID_28777337.pdf,Akt,CHEMICAL,422,425,"It inhibits phosphorylation of Akt, affecting insulin sensitivity and triglyceride metabolism."
/work/eval_papers/PMID_28777337.pdf,triglyceride,CHEMICAL,461,473,"It inhibits phosphorylation of Akt, affecting insulin sensitivity and triglyceride metabolism."
/work/eval_papers/PMID_28777337.pdf,tunicamycin,CHEMICAL,561,572,- **Species:** Mouse - **Species Snippet:** 7-month-old mice injected with tunicamycin; livers collected 24 hours post-injection.
/work/eval_papers/PMID_28777337.pdf,Tunicamycin,CHEMICAL,784,795,- **Evidence Level:** Functional; Transcriptional; Translational - **Evidence Snippet:** Tunicamycin upregulated Pepck (gluconeogenesis enzyme) but did not significantly affect G6pase.
/work/eval_papers/PMID_28777337.pdf,gluconeogenesis,CHEMICAL,815,830,- **Evidence Level:** Functional; Transcriptional; Translational - **Evidence Snippet:** Tunicamycin upregulated Pepck (gluconeogenesis enzyme) but did not significantly affect G6pase.
/work/eval_papers/PMID_28777337.pdf,tunicamycin,CHEMICAL,1136,1147,"The evidence supports that ER stress, induced by tunicamycin, impairs VLDL secretion in mouse liver, with molecular and functional evidence showing reductions in lipoprotein secretion markers and associated pathways, consistent with a negative correlation."
/work/eval_papers/PMID_28777337.pdf,VLDL,CHEMICAL,1157,1161,"The evidence supports that ER stress, induced by tunicamycin, impairs VLDL secretion in mouse liver, with molecular and functional evidence showing reductions in lipoprotein secretion markers and associated pathways, consistent with a negative correlation."
/work/eval_papers/PMID_28777337.pdf,Mouse,SPECIES,501,506,- **Species:** Mouse - **Species Snippet:** 7-month-old mice injected with tunicamycin; livers collected 24 hours post-injection.
/work/eval_papers/PMID_28777337.pdf,mice,SPECIES,542,546,- **Species:** Mouse - **Species Snippet:** 7-month-old mice injected with tunicamycin; livers collected 24 hours post-injection.
/work/eval_papers/PMID_28777337.pdf,mouse liver,SPECIES,1175,1186,"The evidence supports that ER stress, induced by tunicamycin, impairs VLDL secretion in mouse liver, with molecular and functional evidence showing reductions in lipoprotein secretion markers and associated pathways, consistent with a negative correlation."
/work/eval_papers/PMID_33762794.pdf,PFBS,CHEMICAL,253,257,"Supporting extracted data from the paper indicates: - **Stressor:** Perfluorobutanesulfonic acid (PFBS), a pollutant - **Stressor Snippet:**"
/work/eval_papers/PMID_33762794.pdf,PFBS,CHEMICAL,311,315,"The effects of PFBS on fat accumulation in a human hepatoma cell line (HepG2) were examined, showing increased fat accumulation when combined with fatty acids."
/work/eval_papers/PMID_33762794.pdf,fatty acids,CHEMICAL,443,454,"The effects of PFBS on fat accumulation in a human hepatoma cell line (HepG2) were examined, showing increased fat accumulation when combined with fatty acids."
/work/eval_papers/PMID_33762794.pdf,PFBS,CHEMICAL,512,516,- **Species:** Human - **Species Snippet:** Exposure to PFBS with fatty acids led to increased fat accumulation in HepG2 cells.
/work/eval_papers/PMID_33762794.pdf,fatty acids,CHEMICAL,522,533,- **Species:** Human - **Species Snippet:** Exposure to PFBS with fatty acids led to increased fat accumulation in HepG2 cells.
/work/eval_papers/PMID_33762794.pdf,PFBS,CHEMICAL,705,709,"- **Test System:** In vitro HepG2 cell culture - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** PFBS at 200 μmol/L significantly increased fat accumulation by 27%, and increased mRNA expression of lipogenesis-related genes (ACC, FAS, SREBP1, DGAT2)."
/work/eval_papers/PMID_33762794.pdf,FAS,CHEMICAL,838,841,"- **Test System:** In vitro HepG2 cell culture - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** PFBS at 200 μmol/L significantly increased fat accumulation by 27%, and increased mRNA expression of lipogenesis-related genes (ACC, FAS, SREBP1, DGAT2)."
/work/eval_papers/PMID_33762794.pdf,human hepatoma cell line,SPECIES,341,365,"The effects of PFBS on fat accumulation in a human hepatoma cell line (HepG2) were examined, showing increased fat accumulation when combined with fatty acids."
/work/eval_papers/PMID_33762794.pdf,Human,SPECIES,471,476,- **Species:** Human - **Species Snippet:** Exposure to PFBS with fatty acids led to increased fat accumulation in HepG2 cells.
/work/eval_papers/PMID_34685712.pdf,Alcohol,CHEMICAL,326,333,"Here are the details from each paper: **Paper 1: (/work/eval_papers/PMID_34685712.pdf)** - **Stressor:** Alcohol - **Stressor Snippet:** Alcohol use disorder is causally linked to alcoholic liver disease (ALD), including steatosis, hepatitis, fibrosis, cirrhosis, and hepatocellular carcinoma."
/work/eval_papers/PMID_34685712.pdf,Alcohol,CHEMICAL,358,365,"Here are the details from each paper: **Paper 1: (/work/eval_papers/PMID_34685712.pdf)** - **Stressor:** Alcohol - **Stressor Snippet:** Alcohol use disorder is causally linked to alcoholic liver disease (ALD), including steatosis, hepatitis, fibrosis, cirrhosis, and hepatocellular carcinoma."
/work/eval_papers/PMID_34685712.pdf,alcohol,CHEMICAL,689,696,"- **Species:** Mouse - **Species Snippet:** Chronic alcohol feeding in mice activates mTORC1, increases ER stress markers (ATF4, CHOP), and impairs autophagy, which can be mitigated by rapamycin."
/work/eval_papers/PMID_34685712.pdf,rapamycin,CHEMICAL,822,831,"- **Species:** Mouse - **Species Snippet:** Chronic alcohol feeding in mice activates mTORC1, increases ER stress markers (ATF4, CHOP), and impairs autophagy, which can be mitigated by rapamycin."
/work/eval_papers/PMID_34685712.pdf,Alcohol,CHEMICAL,987,994,"- **Test System:** In vivo mouse model and in vitro cell culture - **Evidence Level:** Functional; Transcriptional; Translational - **Evidence Snippet:** Alcohol induces ER stress and autophagy impairment via mTORC1 activation, contributing to liver injury."
/work/eval_papers/PMID_34685712.pdf,Palmitate,CHEMICAL,1401,1410,"- **Species:** Mouse - **Species Snippet:** Palmitate stimulates lipogenic gene expression, JNK activation, and decreases cell viability; BO suppresses these effects through AMPK- and JNK-dependent pathways."
/work/eval_papers/PMID_34685712.pdf,Palmitate,CHEMICAL,1708,1717,"- **Test System:** In vitro mouse primary hepatocytes - **Evidence Level:** Functional; Transcriptional; Translational - **Evidence Snippet:** Palmitate increases lipogenesis and cell injury, while BO suppresses lipid accumulation and JNK phosphorylation."
/work/eval_papers/PMID_34685712.pdf,Bisphenol A,CHEMICAL,1927,1938,"- **Correlation:** Positive **Paper 3: (/work/eval_papers/PMID_32593710.pdf)** - **Stressor:** Pollutant (Bisphenol A) - **Stressor Snippet:** BPA exposure in ovariectomized mice on a high-fat diet worsens hepatic steatosis and ER stress, particularly when combined with a high-fat diet."
/work/eval_papers/PMID_34685712.pdf,BPA,CHEMICAL,1964,1967,"- **Correlation:** Positive **Paper 3: (/work/eval_papers/PMID_32593710.pdf)** - **Stressor:** Pollutant (Bisphenol A) - **Stressor Snippet:** BPA exposure in ovariectomized mice on a high-fat diet worsens hepatic steatosis and ER stress, particularly when combined with a high-fat diet."
/work/eval_papers/PMID_34685712.pdf,BPA,CHEMICAL,2289,2292,"- **Species:** Mouse - **Species Snippet:** In vivo model with ovariectomized mice showed increased hepatic fat accumulation, ER stress gene expression, and NAFLD progression with BPA and HFD."
/work/eval_papers/PMID_34685712.pdf,BPA,CHEMICAL,2415,2418,"- **Test System:** In vivo mouse model - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** BPA exacerbates hepatic steatosis via ER stress pathways, especially with dietary fat."
/work/eval_papers/PMID_34685712.pdf,triglyceride,CHEMICAL,2704,2716,"- **Correlation:** Positive **Summary:** There is strong supporting evidence from animal and cell studies that stress pathways involving ER stress and autophagy impairment are mechanistically linked to triglyceride accumulation in the liver, supporting the biological plausibility of this KER."
/work/eval_papers/PMID_34685712.pdf,alcohol-fed mice,SPECIES,594,610,"The study explores mechanisms like mTOR signaling, ER stress, and autophagy in alcohol-fed mice and in vitro cell models."
/work/eval_papers/PMID_34685712.pdf,Mouse,SPECIES,652,657,"- **Species:** Mouse - **Species Snippet:** Chronic alcohol feeding in mice activates mTORC1, increases ER stress markers (ATF4, CHOP), and impairs autophagy, which can be mitigated by rapamycin."
/work/eval_papers/PMID_34685712.pdf,mice,SPECIES,708,712,"- **Species:** Mouse - **Species Snippet:** Chronic alcohol feeding in mice activates mTORC1, increases ER stress markers (ATF4, CHOP), and impairs autophagy, which can be mitigated by rapamycin."
/work/eval_papers/PMID_34685712.pdf,mouse,SPECIES,860,865,"- **Test System:** In vivo mouse model and in vitro cell culture - **Evidence Level:** Functional; Transcriptional; Translational - **Evidence Snippet:** Alcohol induces ER stress and autophagy impairment via mTORC1 activation, contributing to liver injury."
/work/eval_papers/PMID_34685712.pdf,mouse,SPECIES,1330,1335,- **Correlation:** Positive **Paper 2: (/work/eval_papers/PMID_29597210.pdf)** - **Stressor:** Other (bee-bee tree oil) - **Stressor Snippet:** Examined BO's protective effects against palmitate-induced lipid accumulation and apoptosis in mouse primary hepatocytes.
